,status,price,bed,bath,acre_lot,state,zip_code,house_size,sold_date
0,for_sale,369000.0,4.0,2.0,0.08,New Hampshire,3301.0,2705.0,2020-01-02
1,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
2,for_sale,369000.0,4.0,2.0,0.08,New Hampshire,3301.0,2705.0,2020-01-02
3,for_sale,129900.0,4.0,3.0,0.17,New Jersey,8215.0,2040.0,2020-01-02
4,for_sale,300000.0,4.0,3.0,0.49,Connecticut,6790.0,2128.0,2020-01-02
5,for_sale,320000.0,4.0,3.0,0.33,Connecticut,6516.0,2171.0,2020-01-02
6,for_sale,300000.0,4.0,3.0,0.49,Connecticut,6790.0,2128.0,2020-01-02
7,for_sale,129900.0,4.0,3.0,0.17,New Jersey,8215.0,2040.0,2020-01-02
8,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
9,for_sale,300000.0,4.0,3.0,0.49,Connecticut,6790.0,2128.0,2020-01-02
10,for_sale,129900.0,4.0,3.0,0.17,New Jersey,8215.0,2040.0,2020-01-02
11,for_sale,349900.0,3.0,2.0,0.21,New Jersey,8515.0,1526.0,2020-01-02
12,for_sale,300000.0,4.0,3.0,0.49,Connecticut,6790.0,2128.0,2020-01-02
13,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
14,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
15,for_sale,300000.0,4.0,3.0,0.49,Connecticut,6790.0,2128.0,2020-01-02
16,for_sale,517500.0,5.0,4.0,0.22,New Jersey,8201.0,2732.0,2020-01-02
17,for_sale,320000.0,4.0,3.0,0.33,Connecticut,6516.0,2171.0,2020-01-02
18,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
19,for_sale,349900.0,3.0,2.0,0.21,New Jersey,8515.0,1526.0,2020-01-02
20,for_sale,369000.0,4.0,2.0,0.08,New Hampshire,3301.0,2705.0,2020-01-02
21,for_sale,517500.0,5.0,4.0,0.22,New Jersey,8201.0,2732.0,2020-01-02
22,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
23,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
24,for_sale,369000.0,4.0,2.0,0.08,New Hampshire,3301.0,2705.0,2020-01-02
25,for_sale,369000.0,4.0,2.0,0.08,New Hampshire,3301.0,2705.0,2020-01-02
26,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
27,for_sale,300000.0,4.0,3.0,0.49,Connecticut,6790.0,2128.0,2020-01-02
28,for_sale,349900.0,3.0,2.0,0.21,New Jersey,8515.0,1526.0,2020-01-02
29,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
30,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
31,for_sale,349900.0,3.0,2.0,0.21,New Jersey,8515.0,1526.0,2020-01-02
32,for_sale,300000.0,4.0,3.0,0.49,Connecticut,6790.0,2128.0,2020-01-02
33,for_sale,369000.0,4.0,2.0,0.08,New Hampshire,3301.0,2705.0,2020-01-02
34,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
35,for_sale,369000.0,4.0,2.0,0.08,New Hampshire,3301.0,2705.0,2020-01-02
36,for_sale,129900.0,4.0,3.0,0.17,New Jersey,8215.0,2040.0,2020-01-02
37,for_sale,349900.0,3.0,2.0,0.21,New Jersey,8515.0,1526.0,2020-01-02
38,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
39,for_sale,300000.0,4.0,3.0,0.49,Connecticut,6790.0,2128.0,2020-01-02
40,for_sale,320000.0,4.0,3.0,0.33,Connecticut,6516.0,2171.0,2020-01-02
41,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
42,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
43,for_sale,369000.0,4.0,2.0,0.08,New Hampshire,3301.0,2705.0,2020-01-02
44,for_sale,300000.0,4.0,3.0,0.49,Connecticut,6790.0,2128.0,2020-01-02
45,for_sale,369000.0,4.0,2.0,0.08,New Hampshire,3301.0,2705.0,2020-01-02
46,for_sale,300000.0,4.0,3.0,0.49,Connecticut,6790.0,2128.0,2020-01-02
47,for_sale,309000.0,3.0,3.0,0.09,New Jersey,8003.0,1677.0,2020-01-02
48,for_sale,349900.0,3.0,2.0,0.21,New Jersey,8515.0,1526.0,2020-01-02
49,for_sale,300000.0,4.0,3.0,0.49,Connecticut,6790.0,2128.0,2020-01-02
50,for_sale,369000.0,4.0,2.0,0.08,New Hampshire,3301.0,2705.0,2020-01-02
51,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
52,for_sale,320000.0,4.0,3.0,0.33,Connecticut,6516.0,2171.0,2020-01-02
53,for_sale,300000.0,4.0,3.0,0.49,Connecticut,6790.0,2128.0,2020-01-02
54,for_sale,349900.0,3.0,2.0,0.21,New Jersey,8515.0,1526.0,2020-01-02
55,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
56,for_sale,517500.0,5.0,4.0,0.22,New Jersey,8201.0,2732.0,2020-01-02
57,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
58,for_sale,349900.0,3.0,2.0,0.21,New Jersey,8515.0,1526.0,2020-01-02
59,for_sale,349900.0,3.0,2.0,0.21,New Jersey,8515.0,1526.0,2020-01-02
60,for_sale,369000.0,4.0,2.0,0.08,New Hampshire,3301.0,2705.0,2020-01-02
61,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
62,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
63,for_sale,300000.0,4.0,3.0,0.49,Connecticut,6790.0,2128.0,2020-01-02
64,for_sale,349900.0,3.0,2.0,0.21,New Jersey,8515.0,1526.0,2020-01-02
65,for_sale,309000.0,3.0,3.0,0.09,New Jersey,8003.0,1677.0,2020-01-02
66,for_sale,129900.0,4.0,3.0,0.17,New Jersey,8215.0,2040.0,2020-01-02
67,for_sale,1888000.0,4.0,4.0,0.09,New York,11358.0,2900.0,2020-01-02
68,for_sale,259000.0,4.0,2.0,0.22,Connecticut,6705.0,1802.0,2020-01-03
69,for_sale,259000.0,4.0,2.0,0.22,Connecticut,6705.0,1802.0,2020-01-03
70,for_sale,259000.0,4.0,2.0,0.22,Connecticut,6705.0,1802.0,2020-01-03
71,for_sale,259000.0,4.0,2.0,0.22,Connecticut,6705.0,1802.0,2020-01-03
72,for_sale,997095.0,4.0,4.0,0.52,New York,11777.0,3150.0,2020-01-03
73,for_sale,1150000.0,4.0,4.0,0.29,Connecticut,6853.0,2911.0,2020-01-03
74,for_sale,259000.0,4.0,2.0,0.22,Connecticut,6705.0,1802.0,2020-01-03
75,for_sale,259000.0,4.0,2.0,0.22,Connecticut,6705.0,1802.0,2020-01-03
76,for_sale,1150000.0,4.0,4.0,0.29,Connecticut,6853.0,2911.0,2020-01-03
77,for_sale,259000.0,4.0,2.0,0.22,Connecticut,6705.0,1802.0,2020-01-03
78,for_sale,259000.0,4.0,2.0,0.22,Connecticut,6705.0,1802.0,2020-01-03
79,for_sale,259000.0,4.0,2.0,0.22,Connecticut,6705.0,1802.0,2020-01-03
80,for_sale,4800000.0,5.0,3.0,7.3,New York,10950.0,3240.0,2020-01-06
81,for_sale,2800000.0,4.0,6.0,2.11,Connecticut,6897.0,6340.0,2020-01-06
82,for_sale,95000.0,2.0,1.0,0.03,New Jersey,8611.0,744.0,2020-01-06
83,for_sale,1199000.0,5.0,3.0,1.45,New York,10977.0,2063.0,2020-01-06
84,for_sale,300000.0,3.0,2.0,0.29,New Jersey,8096.0,1624.0,2020-01-06
85,for_sale,978800.0,6.0,5.0,0.09,New York,10304.0,2706.0,2020-01-06
86,for_sale,95000.0,2.0,1.0,0.03,New Jersey,8611.0,744.0,2020-01-06
87,for_sale,2800000.0,4.0,6.0,2.11,Connecticut,6897.0,6340.0,2020-01-06
88,for_sale,300000.0,3.0,2.0,0.29,New Jersey,8096.0,1624.0,2020-01-06
89,for_sale,975000.0,5.0,4.0,0.11,Rhode Island,2906.0,4864.0,2020-01-06
90,for_sale,300000.0,3.0,2.0,0.29,New Jersey,8096.0,1624.0,2020-01-06
91,for_sale,975000.0,5.0,4.0,0.11,Rhode Island,2906.0,4864.0,2020-01-06
92,for_sale,4800000.0,5.0,3.0,7.3,New York,10950.0,3240.0,2020-01-06
93,for_sale,978800.0,6.0,5.0,0.09,New York,10304.0,2706.0,2020-01-06
94,for_sale,975000.0,5.0,4.0,0.11,Rhode Island,2906.0,4864.0,2020-01-06
95,for_sale,559500.0,5.0,3.0,0.03,Pennsylvania,19122.0,2126.0,2020-01-06
96,for_sale,235000.0,2.0,1.0,0.14,New York,12553.0,920.0,2020-01-06
97,for_sale,95000.0,2.0,1.0,0.03,New Jersey,8611.0,744.0,2020-01-06
98,for_sale,975000.0,5.0,4.0,0.11,Rhode Island,2906.0,4864.0,2020-01-06
99,for_sale,975000.0,5.0,4.0,0.11,Rhode Island,2906.0,4864.0,2020-01-06
100,for_sale,359000.0,3.0,2.0,3.0,Pennsylvania,18302.0,1066.0,2020-01-06
101,for_sale,95000.0,2.0,1.0,0.03,New Jersey,8611.0,744.0,2020-01-06
102,for_sale,1199000.0,5.0,3.0,1.45,New York,10977.0,2063.0,2020-01-06
103,for_sale,449900.0,4.0,4.0,0.11,Delaware,19709.0,2275.0,2020-01-06
104,for_sale,559500.0,5.0,3.0,0.03,Pennsylvania,19122.0,2126.0,2020-01-06
105,for_sale,95000.0,2.0,1.0,0.03,New Jersey,8611.0,744.0,2020-01-06
106,for_sale,2800000.0,4.0,6.0,2.11,Connecticut,6897.0,6340.0,2020-01-06
107,for_sale,1199000.0,5.0,3.0,1.45,New York,10977.0,2063.0,2020-01-06
108,for_sale,975000.0,5.0,4.0,0.11,Rhode Island,2906.0,4864.0,2020-01-06
109,for_sale,95000.0,2.0,1.0,0.03,New Jersey,8611.0,744.0,2020-01-06
110,for_sale,975000.0,5.0,4.0,0.11,Rhode Island,2906.0,4864.0,2020-01-06
111,for_sale,359000.0,3.0,2.0,3.0,Pennsylvania,18302.0,1066.0,2020-01-06
112,for_sale,300000.0,3.0,2.0,0.29,New Jersey,8096.0,1624.0,2020-01-06
113,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
114,for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07
115,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
116,for_sale,575000.0,4.0,3.0,1.7,Delaware,19707.0,2700.0,2020-01-07
117,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
118,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
119,for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07
120,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
121,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
122,for_sale,389900.0,4.0,3.0,0.02,Pennsylvania,19133.0,2300.0,2020-01-07
123,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
124,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
125,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
126,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
127,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
128,for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07
129,for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07
130,for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07
131,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
132,for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07
133,for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07
134,for_sale,449900.0,4.0,2.0,0.06,Pennsylvania,19142.0,1500.0,2020-01-07
135,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
136,for_sale,389900.0,4.0,3.0,0.02,Pennsylvania,19133.0,2300.0,2020-01-07
137,for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07
138,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
139,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
140,for_sale,238500.0,3.0,2.0,1.0,New York,12972.0,2485.0,2020-01-08
141,for_sale,399800.0,4.0,3.0,0.15,New Jersey,8109.0,2450.0,2020-01-08
142,for_sale,399800.0,4.0,3.0,0.15,New Jersey,8109.0,2450.0,2020-01-08
143,for_sale,238500.0,3.0,2.0,1.0,New York,12972.0,2485.0,2020-01-08
144,for_sale,399800.0,4.0,3.0,0.15,New Jersey,8109.0,2450.0,2020-01-08
145,for_sale,238500.0,3.0,2.0,1.0,New York,12972.0,2485.0,2020-01-08
146,for_sale,238500.0,3.0,2.0,1.0,New York,12972.0,2485.0,2020-01-08
147,for_sale,238500.0,3.0,2.0,1.0,New York,12972.0,2485.0,2020-01-08
148,for_sale,465000.0,3.0,3.0,0.28,New Jersey,8854.0,1464.0,2020-01-09
149,for_sale,79900.0,3.0,1.0,0.02,Pennsylvania,19120.0,1120.0,2020-01-09
150,for_sale,465000.0,3.0,3.0,0.28,New Jersey,8854.0,1464.0,2020-01-09
151,for_sale,465000.0,3.0,3.0,0.28,New Jersey,8854.0,1464.0,2020-01-09
152,for_sale,79900.0,3.0,1.0,0.02,Pennsylvania,19120.0,1120.0,2020-01-09
153,for_sale,139000.0,3.0,2.0,0.02,Pennsylvania,19139.0,942.0,2020-01-09
154,for_sale,1149000.0,5.0,4.0,0.12,New York,11580.0,2340.0,2020-01-09
